Gender,Category,Parental Education,Hometown Area,Family annual income,Guidance from family,Family member in same field,Percentage in 10th,Percentage in 12th ,Medium studied in?,CPI in graduation,Course,College type,Attendance in class,Living arrangement ,Participation in class,Homework submission,Preparation level,Study hours,Educational Technology,Internet Usage,Weekend plans,Study technique,Study environment,Learning style,Study Group Size,Sleeping time,Extracurricular Activities,Your class buddy friend,Relationship Status in last sem
Other,General,Secondary (9-12),Semi-Urban,1 - 2.5 lakh,Yes,Yes,80-90%,60-70%,Hindi,5.33,Other,Regional and Private Colleges,80%,PG room,Frequently,2 or more days before due date,50%,2 hours or less,No,1-2 hours,Netflix and Chill,Summarizing and making short notes,Home (self),From Professor in class,Alone,3am or later,Yes,Almost same as you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Other,above 10 lakh,Yes,Yes,Above 90%,70-80%,Hindi,9.18,M.tech,Reputed University,80%,Other,Frequently,Missed some homeworks,100%,3-5 hours,No,1-2 hours,Going outside with friends,Practice by writing,Home (group study),From friends after class,2,1am,No,Better than you,Single
Other,Other (PWD),Tertiary (graduation or above),Rural,above 10 lakh,Yes,No,80-90%,80-90%,Hindi,9.5,Law,IIT,90%,PG room,Once in a while,On the due date,10%,5+ hours,No,2-4 hours,Netflix and Chill,Practice by writing,Library (self),From friends after class,4,12am or before,Yes,Better than you,Single
Other,General,Tertiary (graduation or above),Semi-Urban,above 10 lakh,Yes,No,60-70%,60-70%,Regional languages,7.62,Other,NIT,90%,Home,Frequently,Missed some homeworks,100%,5+ hours,No,0 hours,Netflix and Chill,Revising the whole notes,Library (self),From friends after class,3,3am or later,No,Worse than you,Toxic Relationship
Other,ST/SC,Primary (1-8),Rural,5 - 10 lakh,No,Yes,70-80%,Below 60%,Hindi,9.32,Law,IIT,80%,Hostel room,Frequently,On the due date,10%,2 hours or less,Yes,5+ hours,Sleeping all day,Practice by writing,Library (group study),Reading from books,2,12am or before,Yes,Worse than you,Single
Female,ST/SC,Tertiary (graduation or above),Urban,above 10 lakh,No,Yes,70-80%,60-70%,Regional languages,8.81,MCA,NIT,90%,Home,Frequently,On the due date,80%,2 hours or less,Yes,5+ hours,Going outside with friends,Revising the whole notes,Library (self),From Professor in class,4,12am or before,No,Almost same as you,Healthy Relationship
Other,ST/SC,Secondary (9-12),Urban,above 10 lakh,Yes,Yes,Above 90%,70-80%,Hindi,5.61,BCA,Regional and Private Colleges,80%,Home,Never,2 or more days before due date,80%,5+ hours,Yes,1-2 hours,Sleeping all day,Revising the whole notes,Library (group study),Reading from books,3,2am,No,Worse than you,Toxic Relationship
Other,ST/SC,Primary (1-8),Rural,2.5 - 5 lakh,No,No,Above 90%,Above 90%,Regional languages,8.67,B.tech,Reputed University,70%,Home,Never,Missed some homeworks,10%,5+ hours,No,2-4 hours,Revising the week's study material,Practice by writing,Home (group study),From friends after class,2,1am,No,Worse than you,Healthy Relationship
Male,Other (PWD),Tertiary (graduation or above),Other,2.5 - 5 lakh,Yes,Yes,80-90%,Below 60%,English,8.75,B.sc.,IIT,80%,PG room,Frequently,Missed some homeworks,100%,3-5 hours,No,1-2 hours,Sleeping all day,Revising the whole notes,Library (self),Reading from books,Alone,3am or later,Yes,Worse than you,Toxic Relationship
Male,ST/SC,Tertiary (graduation or above),Other,5 - 10 lakh,No,No,Below 60%,80-90%,Hindi,5.95,Other,IIT,Didn't attend classes properly,Other,Once in a while,2 or more days before due date,80%,3-5 hours,No,5+ hours,Going outside with friends,Summarizing and making short notes,Home (group study),From YouTube/online platforms,3,1am,No,Worse than you,Toxic Relationship
Other,General,Primary (1-8),Semi-Urban,2.5 - 5 lakh,Yes,Yes,60-70%,60-70%,Hindi,7.01,B.tech,NIT,70%,Hostel room,Frequently,Missed some homeworks,10%,3-5 hours,No,5+ hours,Revising the week's study material,Practice by writing,Home (group study),From Professor in class,More than 4,1am,Yes,Worse than you,Single
Male,General,Tertiary (graduation or above),Urban,1 - 2.5 lakh,Yes,No,80-90%,80-90%,English,8.88,B.sc.,Regional and Private Colleges,70%,Other,Once in a while,On the due date,50%,5+ hours,No,0 hours,Sleeping all day,Practice by writing,Library (self),Reading from books,3,3am or later,Yes,Worse than you,Healthy Relationship
Other,ST/SC,Primary (1-8),Rural,5 - 10 lakh,Yes,No,80-90%,Above 90%,Regional languages,5.55,B.tech,NIT,70%,Other,Never,Missed some homeworks,50%,5+ hours,No,0 hours,Sleeping all day,Revising the whole notes,Library (group study),From friends after class,2,12am or before,No,Better than you,Single
Other,Other (PWD),Tertiary (graduation or above),Rural,Below 1 lakh,No,Yes,Below 60%,Above 90%,Regional languages,5.71,M.sc.,NIT,80%,Hostel room,Frequently,Missed some homeworks,80%,3-5 hours,No,2-4 hours,Sleeping all day,Practice by writing,Home (group study),From Professor in class,2,12am or before,Yes,Almost same as you,Healthy Relationship
Female,ST/SC,Tertiary (graduation or above),Urban,1 - 2.5 lakh,No,No,Below 60%,70-80%,English,6.68,B.sc.,IIT,70%,PG room,Once in a while,Missed some homeworks,10%,5+ hours,Yes,5+ hours,Sleeping all day,Practice by writing,Library (self),From Professor in class,3,2am,No,Almost same as you,Single
Other,General,Tertiary (graduation or above),Rural,5 - 10 lakh,Yes,Yes,60-70%,70-80%,Regional languages,7.96,M.sc.,IIT,80%,Home,Frequently,On the due date,50%,2 hours or less,No,5+ hours,Sleeping all day,Summarizing and making short notes,Home (group study),From Professor in class,3,12am or before,Yes,Almost same as you,Healthy Relationship
Female,General,Tertiary (graduation or above),Other,above 10 lakh,No,No,80-90%,80-90%,Hindi,8.81,M.tech,Reputed University,90%,PG room,Frequently,On the due date,50%,2 hours or less,Yes,0 hours,Sleeping all day,Practice by writing,Home (self),From Professor in class,Alone,2am,No,Almost same as you,Single
Female,OBC,Primary (1-8),Urban,2.5 - 5 lakh,No,Yes,Below 60%,Above 90%,Regional languages,8.79,B.tech,Reputed University,90%,Home,Never,Missed some homeworks,80%,3-5 hours,No,0 hours,Netflix and Chill,Practice by writing,Library (self),Reading from books,2,12am or before,No,Almost same as you,Healthy Relationship
Female,OBC,Primary (1-8),Other,1 - 2.5 lakh,Yes,Yes,Below 60%,60-70%,Hindi,6.89,MCA,Regional and Private Colleges,90%,Home,Never,On the due date,80%,3-5 hours,No,5+ hours,Sleeping all day,Summarizing and making short notes,Library (self),Reading from books,Alone,1am,Yes,Almost same as you,Toxic Relationship
Other,ST/SC,Secondary (9-12),Urban,2.5 - 5 lakh,Yes,No,Below 60%,80-90%,English,9.1,B.tech,Regional and Private Colleges,90%,PG room,Once in a while,On the due date,50%,3-5 hours,Yes,2-4 hours,Revising the week's study material,Practice by writing,Library (self),From YouTube/online platforms,3,2am,Yes,Almost same as you,Toxic Relationship
Male,General,Primary (1-8),Semi-Urban,5 - 10 lakh,Yes,No,80-90%,Below 60%,English,7.17,BCA,IIT,90%,Other,Once in a while,Missed some homeworks,80%,3-5 hours,No,0 hours,Netflix and Chill,Revising the whole notes,Home (group study),From friends after class,3,2am,Yes,Almost same as you,Single
Other,OBC,Secondary (9-12),Semi-Urban,Below 1 lakh,No,Yes,Below 60%,60-70%,Regional languages,6.81,B.tech,NIT,80%,Other,Never,On the due date,80%,2 hours or less,No,2-4 hours,Sleeping all day,Practice by writing,Home (group study),Reading from books,More than 4,12am or before,Yes,Worse than you,Healthy Relationship
Other,ST/SC,Primary (1-8),Urban,5 - 10 lakh,Yes,Yes,70-80%,60-70%,English,9.78,B.sc.,Regional and Private Colleges,80%,Other,Never,Missed some homeworks,100%,3-5 hours,No,5+ hours,Netflix and Chill,Revising the whole notes,Library (self),From Professor in class,4,2am,No,Worse than you,Healthy Relationship
Male,ST/SC,Tertiary (graduation or above),Rural,Below 1 lakh,Yes,No,Above 90%,70-80%,Regional languages,6.33,BCA,Regional and Private Colleges,90%,Home,Never,Missed some homeworks,100%,3-5 hours,No,0 hours,Sleeping all day,Summarizing and making short notes,Home (group study),Reading from books,Alone,1am,Yes,Almost same as you,Toxic Relationship
Male,OBC,Secondary (9-12),Other,above 10 lakh,No,Yes,Above 90%,Below 60%,Hindi,8.68,M.sc.,Reputed University,Didn't attend classes properly,Home,Frequently,Missed some homeworks,10%,2 hours or less,No,0 hours,Revising the week's study material,Revising the whole notes,Home (group study),From YouTube/online platforms,2,1am,Yes,Worse than you,Healthy Relationship
Female,General,Primary (1-8),Other,1 - 2.5 lakh,No,No,60-70%,70-80%,Hindi,5.9,M.sc.,Regional and Private Colleges,70%,Other,Once in a while,On the due date,80%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Practice by writing,Library (group study),From friends after class,2,12am or before,No,Better than you,Healthy Relationship
Other,ST/SC,Tertiary (graduation or above),Urban,5 - 10 lakh,No,Yes,70-80%,Below 60%,Hindi,9.7,B.sc.,Regional and Private Colleges,90%,PG room,Frequently,On the due date,50%,3-5 hours,No,1-2 hours,Revising the week's study material,Practice by writing,Home (group study),From friends after class,3,3am or later,No,Worse than you,Single
Female,OBC,Secondary (9-12),Rural,5 - 10 lakh,No,No,Above 90%,Above 90%,Hindi,5.76,Other,IIT,80%,PG room,Once in a while,2 or more days before due date,10%,2 hours or less,Yes,5+ hours,Revising the week's study material,Revising the whole notes,Library (self),From Professor in class,3,3am or later,No,Almost same as you,Toxic Relationship
Male,General,Primary (1-8),Urban,above 10 lakh,Yes,Yes,Below 60%,80-90%,Hindi,9.48,B.tech,IIT,70%,PG room,Once in a while,2 or more days before due date,100%,2 hours or less,No,2-4 hours,Going outside with friends,Practice by writing,Library (group study),From YouTube/online platforms,Alone,3am or later,Yes,Better than you,Single
Female,OBC,Primary (1-8),Other,2.5 - 5 lakh,No,No,Below 60%,Above 90%,Regional languages,6.26,M.sc.,NIT,70%,Hostel room,Once in a while,Missed some homeworks,10%,5+ hours,No,1-2 hours,Going outside with friends,Revising the whole notes,Home (self),Reading from books,2,3am or later,No,Worse than you,Healthy Relationship
Male,ST/SC,Primary (1-8),Semi-Urban,1 - 2.5 lakh,Yes,No,Above 90%,80-90%,Hindi,7.99,BCA,Reputed University,90%,PG room,Frequently,2 or more days before due date,80%,2 hours or less,No,1-2 hours,Revising the week's study material,Summarizing and making short notes,Library (self),From Professor in class,More than 4,1am,Yes,Worse than you,Toxic Relationship
Other,OBC,Secondary (9-12),Rural,5 - 10 lakh,No,No,80-90%,Below 60%,English,8.56,B.sc.,IIT,70%,PG room,Frequently,Missed some homeworks,100%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Summarizing and making short notes,Library (group study),Reading from books,3,3am or later,No,Worse than you,Single
Other,OBC,Primary (1-8),Semi-Urban,1 - 2.5 lakh,Yes,No,70-80%,60-70%,English,5.46,Law,Reputed University,80%,Home,Once in a while,2 or more days before due date,80%,5+ hours,Yes,0 hours,Netflix and Chill,Revising the whole notes,Library (group study),From friends after class,3,3am or later,Yes,Almost same as you,Single
Female,Other (PWD),Primary (1-8),Other,5 - 10 lakh,Yes,No,Above 90%,Below 60%,Hindi,9.11,M.tech,Reputed University,90%,Other,Frequently,2 or more days before due date,10%,3-5 hours,No,2-4 hours,Going outside with friends,Practice by writing,Library (self),From YouTube/online platforms,More than 4,2am,No,Worse than you,Healthy Relationship
Other,OBC,Secondary (9-12),Semi-Urban,1 - 2.5 lakh,Yes,Yes,70-80%,Below 60%,English,5.22,BCA,Reputed University,80%,Hostel room,Frequently,Missed some homeworks,10%,2 hours or less,Yes,0 hours,Going outside with friends,Summarizing and making short notes,Home (group study),From friends after class,2,12am or before,No,Worse than you,Healthy Relationship
Other,OBC,Tertiary (graduation or above),Other,1 - 2.5 lakh,No,Yes,70-80%,Below 60%,Regional languages,5.64,MCA,Reputed University,Didn't attend classes properly,Other,Frequently,Missed some homeworks,100%,5+ hours,No,0 hours,Revising the week's study material,Revising the whole notes,Library (group study),Reading from books,More than 4,12am or before,Yes,Almost same as you,Single
Female,Other (PWD),Tertiary (graduation or above),Other,1 - 2.5 lakh,No,No,Below 60%,60-70%,English,6.34,Law,Reputed University,80%,PG room,Once in a while,On the due date,50%,5+ hours,No,5+ hours,Sleeping all day,Practice by writing,Library (group study),From YouTube/online platforms,4,3am or later,No,Better than you,Healthy Relationship
Other,Other (PWD),Secondary (9-12),Rural,above 10 lakh,Yes,Yes,Above 90%,Above 90%,English,7.7,M.sc.,Regional and Private Colleges,80%,Hostel room,Never,On the due date,100%,3-5 hours,No,0 hours,Netflix and Chill,Summarizing and making short notes,Home (group study),Reading from books,2,3am or later,Yes,Almost same as you,Single
Male,OBC,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,Yes,No,70-80%,80-90%,English,6.39,BCA,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Frequently,2 or more days before due date,80%,5+ hours,Yes,2-4 hours,Netflix and Chill,Summarizing and making short notes,Home (self),From Professor in class,More than 4,3am or later,No,Almost same as you,Toxic Relationship
Male,General,Secondary (9-12),Semi-Urban,2.5 - 5 lakh,Yes,Yes,Below 60%,80-90%,Hindi,8.06,B.tech,Regional and Private Colleges,90%,Other,Frequently,Missed some homeworks,100%,5+ hours,Yes,2-4 hours,Netflix and Chill,Summarizing and making short notes,Home (self),Reading from books,4,3am or later,Yes,Worse than you,Single
Other,OBC,Primary (1-8),Other,Below 1 lakh,No,Yes,Above 90%,Below 60%,English,9.54,M.tech,NIT,90%,PG room,Never,2 or more days before due date,50%,2 hours or less,Yes,1-2 hours,Revising the week's study material,Summarizing and making short notes,Library (group study),From friends after class,4,1am,Yes,Better than you,Toxic Relationship
Other,General,Secondary (9-12),Other,above 10 lakh,Yes,No,80-90%,60-70%,Hindi,9.78,M.sc.,IIT,70%,Home,Frequently,On the due date,10%,2 hours or less,No,0 hours,Revising the week's study material,Practice by writing,Home (self),Reading from books,2,2am,No,Better than you,Single
Other,General,Primary (1-8),Urban,1 - 2.5 lakh,Yes,Yes,60-70%,60-70%,English,6.34,M.tech,NIT,90%,Hostel room,Once in a while,Missed some homeworks,80%,3-5 hours,No,0 hours,Sleeping all day,Summarizing and making short notes,Library (self),From friends after class,4,3am or later,No,Worse than you,Single
Other,Other (PWD),Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,Yes,Yes,Above 90%,80-90%,Hindi,9.1,M.tech,Reputed University,Didn't attend classes properly,Hostel room,Never,2 or more days before due date,10%,5+ hours,Yes,0 hours,Netflix and Chill,Revising the whole notes,Home (self),From YouTube/online platforms,4,1am,No,Almost same as you,Toxic Relationship
Other,Other (PWD),Secondary (9-12),Semi-Urban,Below 1 lakh,Yes,Yes,Below 60%,60-70%,Hindi,5.42,BCA,Reputed University,70%,PG room,Never,2 or more days before due date,80%,2 hours or less,No,0 hours,Sleeping all day,Revising the whole notes,Home (group study),From friends after class,More than 4,1am,Yes,Worse than you,Healthy Relationship
Other,General,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,No,No,80-90%,70-80%,Hindi,9.45,M.sc.,IIT,70%,Home,Never,On the due date,10%,3-5 hours,No,5+ hours,Going outside with friends,Summarizing and making short notes,Library (self),From YouTube/online platforms,2,1am,No,Better than you,Healthy Relationship
Male,General,Tertiary (graduation or above),Other,Below 1 lakh,No,No,Below 60%,80-90%,English,9.98,M.tech,Reputed University,70%,PG room,Once in a while,On the due date,100%,2 hours or less,Yes,2-4 hours,Netflix and Chill,Practice by writing,Home (group study),From Professor in class,3,12am or before,Yes,Worse than you,Single
Female,General,Primary (1-8),Urban,5 - 10 lakh,No,Yes,Below 60%,80-90%,Regional languages,7.3,BCA,Regional and Private Colleges,Didn't attend classes properly,PG room,Never,On the due date,80%,2 hours or less,No,5+ hours,Going outside with friends,Revising the whole notes,Library (self),From Professor in class,3,1am,Yes,Better than you,Single
Male,Other (PWD),Secondary (9-12),Urban,1 - 2.5 lakh,No,Yes,60-70%,70-80%,Hindi,6.75,MCA,NIT,80%,Home,Never,Missed some homeworks,100%,2 hours or less,Yes,0 hours,Netflix and Chill,Revising the whole notes,Library (self),From Professor in class,3,3am or later,No,Worse than you,Toxic Relationship
Female,Other (PWD),Secondary (9-12),Rural,above 10 lakh,Yes,No,60-70%,70-80%,Hindi,5.05,Law,Regional and Private Colleges,80%,Home,Never,Missed some homeworks,80%,5+ hours,Yes,1-2 hours,Sleeping all day,Summarizing and making short notes,Library (self),Reading from books,4,3am or later,Yes,Almost same as you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Other,5 - 10 lakh,No,No,Above 90%,Above 90%,English,6.35,M.tech,Reputed University,80%,Home,Frequently,2 or more days before due date,100%,3-5 hours,No,5+ hours,Going outside with friends,Revising the whole notes,Library (self),From YouTube/online platforms,Alone,2am,Yes,Almost same as you,Single
Other,OBC,Secondary (9-12),Other,5 - 10 lakh,No,No,80-90%,Below 60%,Hindi,7.01,M.tech,NIT,90%,Home,Once in a while,Missed some homeworks,80%,3-5 hours,Yes,5+ hours,Revising the week's study material,Revising the whole notes,Home (group study),From friends after class,4,3am or later,Yes,Worse than you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Rural,5 - 10 lakh,Yes,No,Below 60%,70-80%,English,6.56,Other,NIT,90%,PG room,Frequently,2 or more days before due date,10%,5+ hours,Yes,1-2 hours,Revising the week's study material,Revising the whole notes,Home (self),Reading from books,Alone,2am,No,Worse than you,Healthy Relationship
Other,General,Secondary (9-12),Other,5 - 10 lakh,No,No,Above 90%,60-70%,Regional languages,8.79,BCA,Regional and Private Colleges,70%,Home,Never,Missed some homeworks,100%,5+ hours,Yes,1-2 hours,Netflix and Chill,Practice by writing,Library (group study),From YouTube/online platforms,2,2am,Yes,Worse than you,Single
Other,OBC,Tertiary (graduation or above),Rural,1 - 2.5 lakh,Yes,Yes,Above 90%,70-80%,Regional languages,9.6,BCA,Reputed University,70%,Home,Once in a while,2 or more days before due date,80%,5+ hours,No,1-2 hours,Netflix and Chill,Summarizing and making short notes,Home (group study),From Professor in class,3,3am or later,No,Almost same as you,Single
Other,Other (PWD),Secondary (9-12),Rural,Below 1 lakh,No,No,Below 60%,60-70%,Regional languages,5.68,Other,IIT,80%,Home,Frequently,2 or more days before due date,100%,5+ hours,No,2-4 hours,Netflix and Chill,Practice by writing,Library (self),From Professor in class,2,3am or later,Yes,Almost same as you,Healthy Relationship
Male,ST/SC,Tertiary (graduation or above),Semi-Urban,Below 1 lakh,Yes,No,Above 90%,Below 60%,Hindi,9.17,B.tech,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Once in a while,2 or more days before due date,50%,3-5 hours,Yes,2-4 hours,Going outside with friends,Practice by writing,Library (group study),From YouTube/online platforms,3,1am,No,Almost same as you,Single
Female,General,Primary (1-8),Semi-Urban,1 - 2.5 lakh,No,No,80-90%,Above 90%,Hindi,9.03,Other,Regional and Private Colleges,90%,Home,Never,On the due date,50%,5+ hours,No,0 hours,Sleeping all day,Practice by writing,Library (group study),From Professor in class,Alone,2am,Yes,Better than you,Single
Other,Other (PWD),Primary (1-8),Other,Below 1 lakh,Yes,Yes,Below 60%,Above 90%,Hindi,7.14,MCA,Reputed University,80%,Other,Never,On the due date,80%,5+ hours,No,0 hours,Revising the week's study material,Revising the whole notes,Library (group study),From Professor in class,2,12am or before,Yes,Better than you,Toxic Relationship
Female,Other (PWD),Secondary (9-12),Urban,1 - 2.5 lakh,No,No,Above 90%,60-70%,English,7.28,M.tech,Regional and Private Colleges,70%,PG room,Once in a while,2 or more days before due date,50%,2 hours or less,Yes,5+ hours,Sleeping all day,Summarizing and making short notes,Home (self),Reading from books,3,1am,No,Better than you,Toxic Relationship
Female,General,Primary (1-8),Other,5 - 10 lakh,No,Yes,60-70%,70-80%,English,9.08,BCA,IIT,90%,Other,Frequently,Missed some homeworks,50%,3-5 hours,No,5+ hours,Revising the week's study material,Summarizing and making short notes,Home (group study),From YouTube/online platforms,2,1am,Yes,Better than you,Healthy Relationship
Male,ST/SC,Secondary (9-12),Rural,1 - 2.5 lakh,No,No,70-80%,Above 90%,Regional languages,6.65,Law,NIT,90%,Other,Once in a while,Missed some homeworks,80%,3-5 hours,Yes,2-4 hours,Going outside with friends,Revising the whole notes,Library (self),From Professor in class,Alone,1am,No,Worse than you,Single
Female,Other (PWD),Primary (1-8),Other,1 - 2.5 lakh,No,Yes,80-90%,70-80%,Hindi,6.13,B.tech,Reputed University,90%,PG room,Never,On the due date,100%,5+ hours,No,5+ hours,Sleeping all day,Summarizing and making short notes,Home (self),From friends after class,4,3am or later,Yes,Almost same as you,Healthy Relationship
Male,ST/SC,Primary (1-8),Semi-Urban,2.5 - 5 lakh,Yes,No,60-70%,70-80%,Regional languages,8.06,B.sc.,NIT,80%,Home,Once in a while,On the due date,10%,2 hours or less,No,0 hours,Netflix and Chill,Summarizing and making short notes,Library (self),From YouTube/online platforms,4,12am or before,No,Almost same as you,Toxic Relationship
Other,Other (PWD),Primary (1-8),Urban,5 - 10 lakh,Yes,Yes,70-80%,80-90%,Hindi,6.04,Other,IIT,80%,Home,Never,Missed some homeworks,50%,3-5 hours,Yes,5+ hours,Netflix and Chill,Summarizing and making short notes,Home (group study),From YouTube/online platforms,2,3am or later,Yes,Better than you,Toxic Relationship
Male,ST/SC,Primary (1-8),Rural,above 10 lakh,Yes,Yes,Below 60%,60-70%,English,6,B.sc.,NIT,70%,Other,Once in a while,Missed some homeworks,50%,2 hours or less,Yes,2-4 hours,Sleeping all day,Summarizing and making short notes,Library (group study),From friends after class,Alone,2am,Yes,Worse than you,Single
Other,OBC,Tertiary (graduation or above),Urban,5 - 10 lakh,No,No,70-80%,70-80%,Regional languages,7.99,MCA,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Never,Missed some homeworks,80%,3-5 hours,Yes,1-2 hours,Sleeping all day,Revising the whole notes,Library (group study),From YouTube/online platforms,More than 4,3am or later,Yes,Better than you,Healthy Relationship
Female,OBC,Primary (1-8),Semi-Urban,above 10 lakh,Yes,No,80-90%,Below 60%,Regional languages,7.28,M.tech,Reputed University,Didn't attend classes properly,Hostel room,Once in a while,Missed some homeworks,50%,2 hours or less,Yes,0 hours,Netflix and Chill,Summarizing and making short notes,Library (self),From YouTube/online platforms,2,12am or before,Yes,Better than you,Healthy Relationship
Male,General,Tertiary (graduation or above),Rural,above 10 lakh,Yes,No,60-70%,70-80%,Hindi,8.55,Law,Regional and Private Colleges,70%,Other,Frequently,On the due date,100%,5+ hours,Yes,5+ hours,Revising the week's study material,Revising the whole notes,Library (group study),Reading from books,Alone,1am,No,Almost same as you,Single
Male,Other (PWD),Secondary (9-12),Rural,1 - 2.5 lakh,No,Yes,Below 60%,Below 60%,Hindi,9.85,B.sc.,Reputed University,70%,Hostel room,Frequently,On the due date,100%,3-5 hours,No,2-4 hours,Revising the week's study material,Revising the whole notes,Home (group study),From friends after class,4,1am,Yes,Almost same as you,Toxic Relationship
Female,General,Tertiary (graduation or above),Urban,above 10 lakh,No,No,Above 90%,Below 60%,Hindi,5.3,B.sc.,Regional and Private Colleges,70%,Hostel room,Frequently,Missed some homeworks,100%,5+ hours,No,2-4 hours,Revising the week's study material,Practice by writing,Library (self),From Professor in class,2,12am or before,Yes,Better than you,Toxic Relationship
Female,OBC,Tertiary (graduation or above),Urban,2.5 - 5 lakh,Yes,Yes,60-70%,70-80%,Regional languages,9.59,B.sc.,Regional and Private Colleges,70%,Hostel room,Once in a while,2 or more days before due date,80%,5+ hours,No,1-2 hours,Revising the week's study material,Practice by writing,Library (group study),From YouTube/online platforms,4,12am or before,Yes,Almost same as you,Single
Male,Other (PWD),Primary (1-8),Urban,2.5 - 5 lakh,Yes,No,Below 60%,70-80%,Hindi,8.11,Other,Regional and Private Colleges,Didn't attend classes properly,Home,Once in a while,2 or more days before due date,50%,5+ hours,No,0 hours,Revising the week's study material,Revising the whole notes,Home (group study),From friends after class,3,3am or later,No,Almost same as you,Single
Other,General,Secondary (9-12),Urban,above 10 lakh,Yes,No,Below 60%,60-70%,English,9.45,B.sc.,Reputed University,Didn't attend classes properly,Hostel room,Never,On the due date,10%,2 hours or less,No,1-2 hours,Sleeping all day,Summarizing and making short notes,Home (self),Reading from books,2,3am or later,Yes,Better than you,Healthy Relationship
Male,ST/SC,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,No,No,80-90%,Above 90%,Regional languages,6.36,Other,NIT,70%,Home,Never,2 or more days before due date,100%,5+ hours,Yes,5+ hours,Netflix and Chill,Revising the whole notes,Home (group study),From YouTube/online platforms,2,1am,No,Almost same as you,Toxic Relationship
Male,OBC,Primary (1-8),Urban,2.5 - 5 lakh,No,No,60-70%,60-70%,Hindi,6.37,BCA,IIT,80%,PG room,Once in a while,On the due date,50%,5+ hours,No,0 hours,Sleeping all day,Practice by writing,Library (self),From YouTube/online platforms,More than 4,1am,No,Better than you,Healthy Relationship
Female,ST/SC,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,No,No,Above 90%,80-90%,English,6.35,MCA,Reputed University,90%,Other,Frequently,Missed some homeworks,50%,3-5 hours,Yes,2-4 hours,Revising the week's study material,Summarizing and making short notes,Library (self),Reading from books,More than 4,2am,No,Worse than you,Toxic Relationship
Male,Other (PWD),Secondary (9-12),Other,Below 1 lakh,No,Yes,80-90%,80-90%,English,6.1,Law,Regional and Private Colleges,Didn't attend classes properly,Home,Frequently,2 or more days before due date,80%,2 hours or less,Yes,5+ hours,Revising the week's study material,Practice by writing,Library (group study),Reading from books,More than 4,2am,No,Worse than you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Rural,above 10 lakh,Yes,Yes,80-90%,Above 90%,Hindi,8.32,B.tech,IIT,70%,Other,Never,2 or more days before due date,80%,5+ hours,Yes,0 hours,Netflix and Chill,Revising the whole notes,Library (group study),Reading from books,3,3am or later,No,Better than you,Healthy Relationship
Male,General,Primary (1-8),Rural,Below 1 lakh,No,No,80-90%,60-70%,Regional languages,9.8,B.sc.,IIT,70%,Other,Never,Missed some homeworks,80%,2 hours or less,No,5+ hours,Netflix and Chill,Summarizing and making short notes,Library (self),Reading from books,3,2am,Yes,Worse than you,Healthy Relationship
Female,Other (PWD),Secondary (9-12),Rural,1 - 2.5 lakh,No,Yes,60-70%,70-80%,Regional languages,6.31,B.tech,IIT,90%,PG room,Frequently,On the due date,100%,3-5 hours,Yes,5+ hours,Going outside with friends,Revising the whole notes,Home (self),From Professor in class,2,3am or later,Yes,Better than you,Single
Male,ST/SC,Secondary (9-12),Other,2.5 - 5 lakh,No,Yes,60-70%,Below 60%,Regional languages,7.68,BCA,Regional and Private Colleges,90%,Hostel room,Once in a while,2 or more days before due date,80%,2 hours or less,No,0 hours,Netflix and Chill,Summarizing and making short notes,Library (self),Reading from books,More than 4,2am,Yes,Worse than you,Healthy Relationship
Other,OBC,Secondary (9-12),Other,above 10 lakh,Yes,Yes,Above 90%,60-70%,Regional languages,6.09,B.tech,NIT,90%,PG room,Never,Missed some homeworks,100%,3-5 hours,No,5+ hours,Netflix and Chill,Summarizing and making short notes,Library (group study),Reading from books,3,1am,Yes,Worse than you,Single
Male,General,Primary (1-8),Other,5 - 10 lakh,No,No,80-90%,80-90%,English,6.47,B.tech,IIT,Didn't attend classes properly,Hostel room,Frequently,2 or more days before due date,10%,2 hours or less,Yes,0 hours,Sleeping all day,Summarizing and making short notes,Library (group study),From friends after class,4,1am,Yes,Worse than you,Healthy Relationship
Other,ST/SC,Secondary (9-12),Semi-Urban,5 - 10 lakh,No,Yes,Below 60%,60-70%,English,8.74,M.sc.,Regional and Private Colleges,80%,Other,Never,Missed some homeworks,50%,5+ hours,Yes,5+ hours,Going outside with friends,Revising the whole notes,Library (self),From Professor in class,More than 4,12am or before,No,Worse than you,Single
